SAMPLE_ID	mutations
EV-001-M	IMPACT230
EV-001-P	IMPACT230
EV-002-M	IMPACT230
EV-002-P	IMPACT230
EV-003-M	IMPACT230
EV-003-P	IMPACT230
EV-004-M	IMPACT230
EV-004-P	IMPACT230
EV-005-M	IMPACT230
EV-005-P	IMPACT230
EV-006-M	IMPACT230
EV-006-P	IMPACT230
EV-007-M	IMPACT230
EV-007-P	IMPACT230
EV-008-M	IMPACT230
EV-008-P	IMPACT230
EV-009-M	IMPACT230
EV-009-P	IMPACT230
EV-010-M	IMPACT230
EV-010-P	IMPACT230
EV-011-M	IMPACT230
EV-011-P	IMPACT230
EV-012-M	IMPACT230
EV-012-P	IMPACT230
EV-013-M	IMPACT230
EV-013-P	IMPACT230
EV-014-M	IMPACT230
EV-014-P	IMPACT230
EV-015-M	IMPACT230
EV-015-P	IMPACT230
EV-016-M	IMPACT230
EV-016-P	IMPACT230
EV-017-M	IMPACT230
EV-017-P	IMPACT230
EV-018-M	IMPACT230
EV-018-P	IMPACT230
EV-019-M	IMPACT230
EV-019-P	IMPACT230
EV-020-M	IMPACT230
EV-020-P	IMPACT230
EV-021-M	IMPACT230
EV-021-P	IMPACT230
EV-022-M	IMPACT230
EV-022-P	IMPACT230
EV-023-M	IMPACT230
EV-023-P	IMPACT230
EV-026-M	IMPACT230
EV-026-P	IMPACT230
EV-027-M	IMPACT230
EV-027-P	IMPACT230
EV-028-M	IMPACT230
EV-028-P	IMPACT230
EV-029-M	IMPACT230
EV-029-P	IMPACT230
EV-030-M	IMPACT230
EV-030-P	IMPACT230
EV-032-M	IMPACT230
EV-032-P	IMPACT230
EV-033-M	IMPACT230
EV-033-P	IMPACT230
EV-034-M	IMPACT230
EV-034-P	IMPACT230
EV-035-M	IMPACT230
EV-035-P	IMPACT230
EV-036-M	IMPACT230
EV-036-P	IMPACT230
EV-037-M	IMPACT230
EV-037-P	IMPACT230
EV-038-M	IMPACT230
EV-038-P	IMPACT230
EV-040-M	IMPACT230
EV-040-P	IMPACT230
EV-041-M	IMPACT230
EV-041-P	IMPACT230
EV-042-M	IMPACT230
EV-042-P	IMPACT230
EV-043-M	IMPACT230
EV-043-P	IMPACT230
EV-044-M	IMPACT230
EV-044-P	IMPACT230
EV-045-M	IMPACT230
EV-045-P	IMPACT230
EV-046-M	IMPACT230
EV-046-P	IMPACT230
EV-047-M	IMPACT230
EV-047-P	IMPACT230
EV-048-M	IMPACT230
EV-048-P	IMPACT230
EV-049-M	IMPACT230
EV-049-P	IMPACT230
EV-050-M	IMPACT230
EV-050-P	IMPACT230
EV-051-M	IMPACT230
EV-051-P	IMPACT230
EV-052-M	IMPACT230
EV-052-P	IMPACT230
EV-053-M	IMPACT230
EV-053-P	IMPACT230
EV-054-M	IMPACT230
EV-054-P	IMPACT230
EV-055-M	IMPACT230
EV-055-P	IMPACT230
EV-056-M	IMPACT230
EV-056-P	IMPACT230
EV-058-M	IMPACT230
EV-058-P	IMPACT230
EV-060-M	IMPACT230
EV-060-P	IMPACT230
EV-061-M	IMPACT230
EV-061-P	IMPACT230
EV-062-M	IMPACT230
EV-062-P	IMPACT230
EV-063-M	IMPACT230
EV-063-P	IMPACT230
EV-064-M	IMPACT230
EV-064-P	IMPACT230
EV-066-M	IMPACT230
EV-066-P	IMPACT230
EV-067-M	IMPACT230
EV-067-P	IMPACT230
EV-068-M	IMPACT230
EV-068-P	IMPACT230
EV-069-M	IMPACT230
EV-069-P	IMPACT230
EV-070-M	IMPACT230
EV-070-P	IMPACT230
EV-071-M	IMPACT230
EV-071-P	IMPACT230
EV-072-M	IMPACT230
EV-072-P	IMPACT230
EV-073-M	IMPACT230
EV-073-P	IMPACT230
EV-074-M	IMPACT230
EV-074-P	IMPACT230
EV-075-M	IMPACT230
EV-075-P	IMPACT230
EV-076-M	IMPACT230
EV-076-P	IMPACT230
